group,model_type,model_name,parameter,estimate_and_95ci
household_member,Cox,ethnicsimd,ps(age10)12,44.39 (3.43-575.25)
household_member,Cox,ethnicsimd,ps(age10)13,49.07 (3.34-720.75)
household_member,Cox,ethnicsimd,ps(age10)14,53.27 (3.04-932.66)
household_member,Cox,ethnicsimd,male,2.07 (1.36-3.15)
household_member,Cox,ethnicsimd,rolepf_any,1.79 (1.10-2.92)
household_member,Cox,ethnicsimd,roleundetermined,1.63 (0.93-2.87)
household_member,Cox,ethnicsimd,white,0.80 (0.36-1.81)
household_member,Cox,ethnicsimd,simd,0.92 (0.81-1.04)
household_member,Cox,ethnicalone,ps(age10)3,1.01 (0.37-2.81)
household_member,Cox,ethnicalone,ps(age10)4,1.11 (0.16-7.65)
household_member,Cox,ethnicalone,ps(age10)5,1.57 (0.14-18.01)
household_member,Cox,ethnicalone,ps(age10)6,3.09 (0.24-40.37)
household_member,Cox,ethnicalone,ps(age10)7,8.22 (0.66-102.20)
household_member,Cox,ethnicalone,ps(age10)8,20.60 (1.77-240.07)
household_member,Cox,ethnicalone,ps(age10)9,31.99 (2.79-367.45)
household_member,Cox,ethnicalone,ps(age10)10,31.51 (2.72-365.04)
household_member,Cox,ethnicalone,ps(age10)11,35.56 (2.99-422.36)
household_member,Cox,ethnicalone,ps(age10)12,44.20 (3.43-569.03)
household_member,Cox,ethnicalone,ps(age10)13,49.42 (3.39-721.22)
household_member,Cox,ethnicalone,ps(age10)14,54.26 (3.11-945.06)
household_member,Cox,ethnicalone,male,2.04 (1.34-3.10)
household_member,Cox,ethnicalone,white,0.80 (0.35-1.80)
household_member,Cox,como,ps(age10)3,1.01 (0.36-2.85)
household_member,Cox,como,ps(age10)4,1.11 (0.16-7.84)
household_member,Cox,como,ps(age10)5,1.57 (0.13-18.49)
household_member,Cox,como,ps(age10)6,3.08 (0.23-40.97)
household_member,Cox,como,ps(age10)7,7.95 (0.63-100.17)
household_member,Cox,como,ps(age10)8,18.08 (1.53-213.67)
household_member,Cox,como,ps(age10)9,22.66 (1.94-265.42)
household_member,Cox,como,ps(age10)10,17.51 (1.48-207.79)
household_member,Cox,como,ps(age10)11,18.11 (1.48-221.04)
household_member,Cox,como,ps(age10)12,24.75 (1.82-336.12)
household_member,Cox,como,ps(age10)13,32.79 (2.00-536.27)
household_member,Cox,como,ps(age10)14,42.88 (2.02-908.35)
household_member,Cox,como,male,1.94 (1.27-2.96)
household_member,Cox,como,rolepf_any,1.78 (1.10-2.90)
household_member,Cox,como,roleundetermined,1.60 (0.91-2.82)
household_member,Cox,como,white,0.92 (0.41-2.07)
household_member,Cox,como,simd,0.97 (0.85-1.09)
household_member,Cox,como,como_count,1.60 (1.27-2.01)
household_member,Cox,como,heart_other_any1,0.60 (0.30-1.21)
household_member,Cox,como,t2dm,2.02 (1.22-3.37)
household_member,Cox,como,unkdm,4.84 (1.46-16.00)
household_member,Cox,como,ckd_any1,4.39 (1.40-13.77)
household_member,Cox,como,oad_any1,1.13 (0.52-2.46)
household_member,Cox,occupation,ps(age10)3,0.99 (0.35-2.80)
household_member,Cox,occupation,ps(age10)4,1.06 (0.15-7.59)
household_member,Cox,occupation,ps(age10)5,1.48 (0.12-17.76)
household_member,Cox,occupation,ps(age10)6,2.91 (0.21-39.81)
household_member,Cox,occupation,ps(age10)7,7.57 (0.58-98.17)
household_member,Cox,occupation,ps(age10)8,16.78 (1.38-203.81)
household_member,Cox,occupation,ps(age10)9,20.55 (1.71-247.11)
household_member,Cox,occupation,ps(age10)10,16.10 (1.32-196.25)
household_member,Cox,occupation,ps(age10)11,17.20 (1.37-215.39)
household_member,Cox,occupation,ps(age10)12,24.43 (1.76-339.99)
household_member,Cox,occupation,ps(age10)13,33.70 (2.01-564.21)
household_member,Cox,occupation,ps(age10)14,45.90 (2.12-994.59)
household_member,Cox,occupation,male,1.90 (1.25-2.88)
household_member,Cox,occupation,rolepf_any,1.60 (0.53-4.82)
household_member,Cox,occupation,roleundetermined,1.13 (0.36-3.53)
household_member,Cox,occupation,white,0.72 (0.32-1.64)
household_member,Cox,occupation,simd,1.03 (0.90-1.16)
household_member,Cox,occupation,como_count,1.60 (1.27-2.01)
household_member,Cox,occupation,heart_other_any1,0.60 (0.30-1.20)
household_member,Cox,occupation,t2dm,1.96 (1.17-3.27)
household_member,Cox,occupation,unkdm,4.81 (1.45-15.93)
household_member,Cox,occupation,ckd_any1,4.37 (1.40-13.71)
household_member,Cox,occupation,oad_any1,1.12 (0.52-2.42)
household_member,Cox,occupation,job_family_grpallied heal,2.03 (0.62-6.63)
household_member,Cox,occupation,job_family_grpadministrat,2.54 (0.57-11.34)
household_member,Cox,occupation,job_family_grpOther,2.92 (0.84-10.11)
household_member,Cox,occupation,job_family_grpnursing and,3.39 (1.23-9.32)
household_member,Cox,occupation,job_family_grpsupport ser,5.00 (1.47-17.04)
household_member,Cox,pt,ps(age10)3,0.96 (0.34-2.72)
household_member,Cox,pt,ps(age10)4,1.00 (0.14-7.14)
household_member,Cox,pt,ps(age10)5,1.37 (0.11-16.29)
household_member,Cox,pt,ps(age10)6,2.67 (0.20-36.31)
household_member,Cox,pt,ps(age10)7,6.97 (0.54-90.07)
household_member,Cox,pt,ps(age10)8,15.30 (1.27-184.98)
household_member,Cox,pt,ps(age10)9,18.66 (1.56-223.73)
household_member,Cox,pt,ps(age10)10,14.65 (1.20-178.20)
household_member,Cox,pt,ps(age10)11,15.67 (1.25-195.84)
household_member,Cox,pt,ps(age10)12,22.47 (1.61-313.17)
household_member,Cox,pt,ps(age10)13,31.39 (1.86-530.86)
household_member,Cox,pt,ps(age10)14,43.29 (1.96-958.58)
household_member,Cox,pt,male,2.02 (1.33-3.07)
household_member,Cox,pt,rolepf_any,1.60 (0.53-4.76)
household_member,Cox,pt,roleundetermined,1.19 (0.39-3.66)
household_member,Cox,pt,white,0.74 (0.33-1.69)
household_member,Cox,pt,simd,1.03 (0.91-1.17)
household_member,Cox,pt,como_count,1.59 (1.26-2.01)
household_member,Cox,pt,heart_other_any1,0.60 (0.30-1.20)
household_member,Cox,pt,t2dm,1.96 (1.18-3.28)
household_member,Cox,pt,unkdm,4.79 (1.45-15.85)
household_member,Cox,pt,ckd_any1,4.44 (1.40-14.04)
household_member,Cox,pt,oad_any1,1.12 (0.51-2.43)
household_member,Cox,pt,job_family_grpallied heal,1.87 (0.50-6.98)
household_member,Cox,pt,job_family_grpadministrat,2.31 (0.48-11.07)
household_member,Cox,pt,job_family_grpOther,2.48 (0.65-9.48)
household_member,Cox,pt,job_family_grpnursing and,3.11 (0.97-9.96)
household_member,Cox,pt,job_family_grpsupport ser,4.75 (1.27-17.76)
household_member,Cox,pt,part_timep,0.70 (0.49-1.01)
household_member,Cox,pt,part_timegeneral practice,0.55 (0.06-5.39)
household_member,conditional_logistic_regression,agesex,rolepopulation,0.87 (0.50-1.49)
household_member,conditional_logistic_regression,ethnicsimd,rolepopulation,0.83 (0.48-1.43)
household_member,conditional_logistic_regression,ethnicsimd,white,1.49 (0.88-2.54)
household_member,conditional_logistic_regression,ethnicsimd,simd,0.87 (0.84-0.91)
household_member,conditional_logistic_regression,como,rolepopulation,0.86 (0.49-1.51)
household_member,conditional_logistic_regression,como,white,1.74 (1.02-2.98)
household_member,conditional_logistic_regression,como,simd,0.92 (0.88-0.96)
household_member,conditional_logistic_regression,como,como_count,1.76 (1.68-1.84)
household_member,conditional_logistic_regression,wa,hhold_wa,2.23 (1.78-2.79)
household_member,conditional_logistic_regression,modkids,rolepopulation,0.10 (0.01-1.60)
household_member,conditional_logistic_regression,modolder,rolepopulation,1.99 (0.62-6.41)
